X,Y,NAME
223374.563199997,878930.4243,Washington St @ Rhoades Ave
237815.061899997,879005.7403,Opp 32 S Main St
240804.409100004,879017.646400001,N Franklin St @ Noonans Lane
223433.9815,879024.2775,Washington St @ East St
240803.664099999,879032.081799999,N Franklin St @ Belcher St
221595.720899999,879053.6917,Main St @ Davis St
223466.924,879077.965399999,Washington St @ Chestnut St
221631.012,879079.1248,Main St opp Chapman St
237845.59,879082.140099999,32 S Main St
223476.806699999,879095.182100002,Washington St opp Chestnut St
238007.857,879145.5513,Union St @ Howard St
237987.409100004,879161.848700002,Union St @ South St
240786.601499997,879165.1261,N Franklin St opp Cedarcrest Rd
